Compound_new_ID	nonstereo_aromatic_smiles	Uniprot_ID	pref_name	activity_id	mean_log	selected_stvalue	ORGANISM
ID_27330	C=C(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1n[nH]cc1C(=O)NCC(C)O	P36898		{('534240', 'BDB')}		IC50	mouse
ID_99077	CC(O)CNC(=O)c1c[nH]nc1Nc1cc(-c2cc(Cl)ccc2F)ncc1C(C)C	P36898		{('534246', 'BDB')}		IC50	mouse
ID_72656	CC(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NC(CO)CO	P36898		{('534252', 'BDB')}		IC50	mouse
ID_10876	C=C(C)c1c(Nc2ccncc2C(=O)OC)cc(-c2cc(Cl)ccc2F)nc1NC(=O)OC(C)(C)C	P36898		{('534258', 'BDB')}		IC50	mouse
ID_92289	C=C(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NC(CC)CO	P36898		{('534264', 'BDB')}		IC50	mouse
ID_51202	C=C(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NC(CO)C(C)C	P36898		{('534270', 'BDB'), ('534276', 'BDB')}		IC50	mouse
ID_109314	C=C(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NCCO	P36898		{('534282', 'BDB')}		IC50	mouse
ID_63723	C=C(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NC1CC1	P36898		{('534288', 'BDB')}		IC50	mouse
ID_160692	CC(O)CNC(=O)c1cnccc1Nc1cc(-c2ccccc2)ncc1C(C)C	P36898		{('534294', 'BDB')}		IC50	mouse
ID_146451	CC(O)CNC(=O)c1cnccc1Nc1cc(-c2cc(Cl)ccc2F)ncc1C1CC1	P36898		{('534312', 'BDB')}		IC50	mouse
ID_81506	Fc1ccc(Cl)cc1-c1cc(Nc2ccnc3[nH]ccc23)c(C2CC2)cn1	P36898		{('534318', 'BDB')}		IC50	mouse
ID_99021	O=C(NC(CO)CO)c1cnccc1Nc1cc(-c2cc(Cl)ccc2F)ncc1N1CCCC1	P36898		{('534324', 'BDB')}		IC50	mouse
ID_163685	C=C(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)N1CCCC1	P36898		{('534330', 'BDB')}		IC50	mouse
